Initial,職務1,職務2,職務3,職務4
CCH,資電,,,
CHLA,活動,,,
CHM,訓導,,,
CMTA,行政,佛化及價值教育,,
CPK,行政,,,
CSCA,行政,,,
CSK,資電,教務,,
CSKA,教務,學生支援,,
CSW,教務,,,
CSYA,行政,,,
CWL,佛化及價值教育,,,
FCQA,佛化及價值教育,學生支援,,
FMKA,教務,,,
FSC,佛化及價值教育,,,
HCHA,,,,
KCK,資電,,,
KKH,行政,,,
KLF,行政,,,
KYM,資電,,,
LCF,生涯規劃,,,
LCW,行政,,,
LCM,行政,,,
LEW,行政,輔導,,
LHYB,佛化及價值教育,訓導,,
LKYA,活動,,,
LML,行政,,,
LPHA,生涯規劃,學生支援,,
LTYA,教務,,,
LTW,活動,,,
LWK,生涯規劃,,,
LWKA,資電,,,
LWY,訓導,生涯規劃,,
LYMA,教務,行政,,
LYF,行政,,,
LYK,輔導,,,
MKW,佛化及價值教育,,,
MKYA,佛化及價值教育,,,
MHN,資電,,,
NHCA,行政,,,
NKK,行政,,,
NMY,佛化及價值教育,,,
NSK,行政,,,
PCS,生涯規劃,,,
PKK,教務,學生支援,,
SSTA,活動,,,
TIS,訓導,,,
TKSA,輔導,佛化及價值教育,,
TKYA,生涯規劃,,,
TLW,學生支援,,,
TMHA,輔導,佛化及價值教育,,
TSM,輔導,,,
WKY,教務,,,
WSWA,訓導,,,
WWH,資電,,,
YBK,行政,,,
YTL,訓導,,,
CTHA,活動,,,
SHLA,輔導,,,
CMYA,活動,,,
NKWA,活動,,,
LHCA,生涯規劃,,,
KCHA,教務,,,
LTSA,,,,
HXYA,教務,,,
LTYB,,,,
